grb,Tb_ks,dTb_ks,Fb,dFb,a1,da1,a2,da2,tstart,tstop,mychi,dof,pval
050319,30.76919,8.21295,0.8044,0.17148,0.49,0.04,1.31,0.19,501.187,100000.0,70.39593,78.0,0.71768
050416A,0.8197,0.23161,4.23903,0.74598,-0.07,0.32,0.85,0.02,316.228,259023.336,67.97743,72.0,0.61249
060614,41.83394,2.5388,0.76605,0.04267,0.02,0.04,1.71,0.06,3981.072,288876.113,104.39159,133.0,0.96833
060714,4.54408,2.18916,2.11483,0.84584,0.38,0.12,1.16,0.1,316.228,81905.276,41.67062,39.0,0.35535
060729,54.15481,2.54263,2.28195,0.09031,0.09,0.02,1.29,0.02,501.187,1217018.317,718.78732,586.0,0.00014
060908,1.12648,0.68795,21.30149,13.23292,0.67,0.1,1.55,0.21,81.713,18029.624,39.3337,30.0,0.11843
080310,7.2773,2.31681,1.55455,0.36015,0.18,0.13,1.33,0.14,1000.0,64500.122,65.21676,60.0,0.30029
080413B,1.26559,0.96819,12.25993,8.20378,0.67,0.08,1.06,0.04,137.799,105982.771,304.88346,211.0,2e-05
080605,0.43318,0.071,129.97113,20.17572,0.53,0.06,1.32,0.02,97.387,69921.603,470.59037,305.0,0.0
090618,5.06878,0.43947,26.09657,2.26807,0.65,0.02,1.4,0.02,501.187,446210.917,1266.6427,950.0,0.0
111228A,5.18925,1.53923,5.6995,1.33732,0.22,0.1,1.08,0.04,501.187,486499.556,169.48056,129.0,0.00972
140419A,4.00456,0.97761,13.84336,3.74069,0.53,0.13,1.35,0.03,1000.0,210320.933,233.68044,206.0,0.0902
140430A,3.9282,21.4606,1.45911,5.51794,0.51,0.41,0.84,0.29,446.684,68892.124,43.64174,36.0,0.17849
060502A,71.87471,28.37058,0.26848,0.09163,0.65,0.03,1.35,0.31,199.526,137691.505,21.10391,39.0,0.99138
090927,9.42931,2.98261,0.52987,0.12222,-0.24,0.3,1.57,0.39,2511.886,31622.777,19.66173,17.0,0.2919
