grb,Tb_ks,dTb_ks,Fb,dFb,a1,da1,a2,da2,tstart,tstop,mychi,dof,pval
060526,14.47226,8.18411,0.55903,0.15329,0.25,0.08,1.44,0.43,1000.0,63890.243,17.55404,20.0,0.61676
060605,7.22126,0.9794,1.54588,0.21058,0.38,0.04,1.76,0.14,199.526,31622.777,61.86811,61.0,0.4449
061121,4.12457,0.41366,16.86264,1.63441,0.33,0.03,1.3,0.02,251.189,191958.895,263.82492,239.0,0.12953
081007,68.8933,24.20598,0.27581,0.08832,0.68,0.03,1.74,0.78,316.228,104743.541,35.87734,41.0,0.6973
081029,19.1165,1.78602,0.58224,0.06845,0.41,0.07,3.0,0.67,2511.886,31622.777,69.54758,64.0,0.29618
091018,0.42369,0.10466,49.50235,10.3354,0.34,0.1,1.15,0.02,69.549,83438.558,168.28093,122.0,0.00351
091029,8.99363,2.25924,1.21101,0.20272,0.14,0.08,1.05,0.07,630.957,152269.532,127.90549,102.0,0.04223
100219A,34.21254,6.34508,0.48229,0.09574,0.52,0.05,3.0,1.54,1000.0,45896.205,7.93432,11.0,0.71918
100814A,190.00032,20.15248,0.40231,0.04094,0.56,0.03,2.27,0.29,3981.072,641813.596,645.37054,256.0,0.0
110213A,4.44064,0.41432,31.95264,4.38041,0.32,0.08,1.83,0.04,398.107,110394.235,353.14551,218.0,0.0
110715A,1.74713,0.29039,39.80612,6.59985,0.58,0.04,1.67,0.11,98.162,25118.864,321.76038,175.0,0.0
150910A,9.34799,0.5323,9.62438,0.85575,0.55,0.02,2.63,0.1,316.228,41080.057,435.6568,295.0,0.0
060906,14.61245,2.44076,0.32075,0.05957,0.37,0.08,2.56,0.57,1000.0,31622.777,38.27358,26.0,0.05711
090510,1.59199,0.32865,9.95891,2.28498,0.6,0.06,2.11,0.16,100.106,18660.492,131.00233,68.0,1e-05
