grb,Tb_ks,dTb_ks,Fb,dFb,a1,da1,a2,da2,tstart,tstop,mychi,dof,pval
050319,187.79619,26.68076,14.48334,1.42487,0.5,0.02,1.61,0.17,3162.28,994118.4,209.11223,91.0,0.0
050416A,1.46331,0.64444,46.13252,13.72074,0.24,0.13,0.91,0.05,125.97,142007.99,74.12624,47.0,0.00702
050730,22.42984,9.41707,205.60297,54.36324,0.53,0.03,1.84,0.32,156.85,358957.44,2915.87125,74.0,0.0
060614,26.77084,1.34303,130.83015,5.15643,-0.48,0.05,1.1,0.03,1000.0,100000.0,23.07043,30.0,0.81235
060714,6.80111,1.3703,96.30994,11.79132,0.21,0.04,1.06,0.04,123.4,286767.59,61.23784,37.0,0.00735
060729,57.80602,3.20734,264.17173,11.30483,0.13,0.02,1.33,0.02,316.23,1000000.0,2295.87703,274.0,0.0
060908,0.94556,0.15968,343.93202,65.79447,-0.8,1.82,1.07,0.02,1000.0,1263758.0,96.78163,71.0,0.02272
080310,2.83504,0.04797,925.6815,10.34464,-0.0,0.01,1.11,0.01,316.23,316227.77,3861.01152,696.0,0.0
080413B,46.05828,21.46275,76.90308,24.42949,0.06,0.13,0.91,0.07,4466.84,316227.77,57.16991,41.0,0.04795
080605,1.60394,0.26039,310.44909,22.2632,0.11,0.11,0.71,0.02,1000.0,124474.59,98.05173,85.0,0.15758
090618,20.72144,0.71938,235.12327,7.59349,0.69,0.0,1.3,0.01,67.94,499392.0,1899.60176,413.0,0.0
111228A,7.20096,0.2087,365.9669,6.77987,0.2,0.01,0.99,0.01,77.56,100000.0,912.23132,338.0,0.0
130603B,23.72164,1.00221,29.44528,1.46596,0.04,0.11,2.09,0.06,158.49,630957.34,19.63931,16.0,0.23691
140419A,0.104,13918.35143,21375.62627,3114711994.4596,-0.8,106439.48,1.09,0.01,1000.0,559597.42,4169.74973,479.0,0.0
140430A,6.96042,2.03075,132.01716,18.57923,0.21,0.05,0.96,0.11,1000.0,110902.46,72.40571,49.0,0.0165
050824,72.71393,67.64442,15.23174,9.91242,0.55,0.04,0.88,0.1,634.69,1000000.0,166.8432,84.0,0.0
060502A,31.01967,29.2049,22.46399,13.01063,0.47,0.03,0.88,0.2,124.32,102500.0,16.11614,30.0,0.98174
090927,28.70797,8.30741,23.10557,5.47716,0.46,0.07,1.5,0.27,2344.46,150944.81,36.81318,24.0,0.04567
